"January","February","March","April","May","June","July","August","September","October","November","December"
655.96,179.94,321.91,439.60,525.09,225.83,530.97,156.21,403.14,150.90,203.23,528.17
525.21,65.94,321.91,439.60,414.34,225.83,202.09,156.21,403.14,150.90,123.23,528.17
525.21,65.94,321.91,359.52,130.66,225.83,5.14,485.46,323.14,100.15,123.23,199.30
525.21,65.94,321.91,59.74,130.66,225.83,5.14,485.46,323.14,100.15,123.23,199.30
525.21,5.19,321.91,59.74,130.66,625.83,5.14,485.46,272.39,100.15,62.48,118.55
525.21,5.19,321.91,59.74,130.66,4.21,5.14,485.46,272.39,100.15,62.48,118.55
525.21,5.19,321.91,59.74,13.44,4.21,5.14,15.46,272.39,100.15,62.48,118.55
525.21,-0.56,321.91,59.74,13.44,4.21,5.14,15.46,272.39,100.15,62.48,118.55
76.65,-0.56,189.46,519.74,13.44,4.21,5.14,13.55,272.39,100.15,62.48,118.55
76.65,-0.56,189.46,38.94,13.44,4.21,378.14,13.55,14.15,100.15,62.48,118.55
76.65,-0.56,189.46,38.94,2.69,4.21,9.84,13.55,14.15,100.15,62.48,118.55
76.65,-0.56,88.91,8.19,2.69,4.21,43.84,13.55,14.15,100.15,62.48,118.55
76.65,-0.56,88.91,8.19,2.69,24.21,43.84,13.55,14.15,100.15,182.48,118.55
76.65,-0.56,88.91,8.19,2.69,24.21,43.84,13.55,44.15,100.15,32.16,27.03
76.65,0.49,88.91,8.19,2.69,24.21,43.84,13.55,44.15,100.15,32.16,27.03
76.65,0.49,88.91,8.19,2.69,24.21,133.09,43.55,44.15,100.15,32.16,27.03
76.65,0.49,88.91,8.19,2.69,24.21,3.09,492.80,44.15,100.15,32.16,427.03
76.65,0.49,88.91,-4.81,2.69,3.46,3.09,492.80,44.15,5.15,32.16,55.53
76.65,440.49,88.91,-4.81,2.69,3.46,3.09,492.80,44.15,5.15,0.66,907.16
76.65,440.49,88.91,-4.81,2.69,3.46,12.09,492.80,3.40,5.15,0.66,1057.16
76.65,440.49,7.90,-4.81,2.69,3.46,12.09,492.80,3.40,5.15,0.66,1057.16
76.65,968.00,7.90,-4.81,2.69,3.46,12.09,492.80,3.40,35.15,0.66,1057.16
65.90,968.00,7.90,-4.81,2.69,3.46,1.34,492.80,3.40,35.15,0.66,1057.16
15.90,968.00,7.90,-4.81,2.69,3.46,1.34,492.80,530.91,4.40,0.66,1016.41
543.41,968.00,7.90,522.70,530.20,530.97,528.85,492.80,550.91,531.91,0.66,1016.41
543.41,968.00,535.41,522.70,530.20,530.97,528.85,492.80,550.91,531.91,528.17,1016.4
543.41,968.00,535.41,525.09,530.20,530.97,528.85,1020.31,510.16,531.91,528.17,1016.41
543.41,968.00,439.60,525.09,530.20,530.97,528.85,1020.31,510.16,531.91,528.17,367.54
543.41,,439.60,525.09,530.20,530.97,528.85,403.14,510.16,203.23,528.17,367.54
543.41,,439.60,525.09,305.83,530.97,528.85,403.14,510.16,203.23,528.17,367.54
543.41,,439.60,,305.83,,528.85,403.14,,203.23,,367.54
