"Date","Android","Windows","iOS","OS X","Unknown","Chrome OS","Linux","Samsung","Xbox","KaiOS","Playstation","Other"
2022-07,44.71,27.83,17.88,5.37,2.29,0.56,1.02,0.25,0.01,0.03,0.03,0.02
2022-08,43.43,28.79,17.63,5.54,2.46,0.72,1.09,0.25,0,0.03,0.03,0.02
2022-09,42.96,29.48,17.37,5.84,2,0.95,1.11,0.22,0,0.03,0.03,0.03
2022-10,42.34,30.17,17.57,6.23,1.41,0.95,1.04,0.19,0,0.04,0.02,0.02
2022-11,43.43,29.3,17.22,6.08,1.64,0.97,1.09,0.2,0,0.04,0.02,0.02
2022-12,44.6,28.41,17.29,5.53,1.88,0.86,1.11,0.22,0,0.06,0.02,0.02
2023-01,42.99,29.22,17.21,6.04,2.15,0.93,1.15,0.2,0,0.06,0.02,0.02
2023-02,43.88,27.71,17.13,6.27,2.43,1.12,1.14,0.2,0,0.08,0.02,0.02
2023-03,41.48,28.32,17.31,7.02,3.07,1.32,1.17,0.21,0,0.07,0.02,0.02
2023-04,37.67,27.83,17.49,7.9,5.86,1.65,1.26,0.23,0,0.07,0.02,0.02
2023-05,34.98,29.27,16.9,8.94,6.06,1.69,1.28,0.21,0.54,0.1,0.02,0.02
2023-06,40.17,28.61,16.81,8.94,1.43,1.73,1.3,0.21,0.65,0.1,0.02,0.02
2023-07,40.12,29.34,16.78,8.62,1.64,1.36,1.33,0.21,0.5,0.08,0.02,0.02
