"Date","Android","Windows","iOS","OS X","Unknown","Linux","Chrome OS","Xbox","Samsung","KaiOS","Playstation","Other"
2023-06,40.17,28.61,16.81,8.94,1.43,1.3,1.73,0.65,0.21,0.1,0.02,0.02
2023-07,40.12,29.34,16.78,8.62,1.64,1.33,1.36,0.5,0.21,0.08,0.02,0.02
2023-08,39.16,30.15,16.47,8.78,1.84,1.4,1.45,0.46,0.2,0.05,0.02,0.02
2023-09,37.66,30.76,16.63,9.06,2.1,1.37,1.75,0.39,0.19,0.06,0.01,0.02
2023-10,37.34,31.23,16.51,9.22,1.78,1.34,1.86,0.44,0.19,0.06,0.01,0.02
2023-11,38.33,30.61,16.55,9.32,1.41,1.44,1.64,0.39,0.2,0.06,0.01,0.02
2023-12,41.72,29.14,17.74,6.56,1.94,1.55,0.97,0.04,0.22,0.08,0.01,0.02
2024-01,41.63,29.03,18.15,6.4,2.21,1.51,0.71,0.02,0.21,0.09,0.01,0.02
2024-02,43.72,27.43,17.82,5.86,2.41,1.54,0.86,0.02,0.22,0.08,0.01,0.02
2024-03,43.5,27.39,18.22,5.55,2.57,1.54,0.86,0.02,0.23,0.08,0.01,0.02
2024-04,43.35,28.24,17.77,5.65,2.16,1.5,0.98,0.02,0.23,0.07,0.01,0.02
2024-05,43.86,27.97,17.8,5.64,1.96,1.44,0.96,0.03,0.23,0.09,0.01,0.02
2024-06,44.77,27.01,17.7,5.55,2.38,1.51,0.72,0.04,0.23,0.08,0.01,0.01
